Program Name,Age,Location,Day,Time,"Start Date","# of Classes","Course Code",Fee
Creative Minds Workshop ,7 - 12 yrs ,Unionville Library ,Sat. ,2:00 p.m. - 4:00 p.m. ,Jan. 16 ,4 ,273176 ,$52
"","",Unionville Library ,Sat. ,2:00 p.m. - 4:00 p.m. ,Feb. 20 ,4 ,273177 ,$52
Creative Writing ,9 - 12 yrs ,Thornhill C.C. Library ,Thu. ,7:00 p.m. - 8:00 p.m. ,Jan. 14 ,8 ,273167 ,$52
"","",Unionville Library ,Sun. ,2:15 p.m. - 3:15 p.m. ,Jan. 17 ,8 ,273093 ,$52
Dance 2 the Beat ,6 - 10 yrs ,Cornell C.C. ,Fri. ,6:15 p.m. - 7:45 p.m. ,Jan. 8 ,10 ,273609 ,$114
"","",Cornell C.C. ,Sun. ,4:15 p.m. - 5:45 p.m. ,Jan. 10 ,10 ,273610 ,$114
"","",Thornhill C.C. ,Thu. ,4:30 p.m. - 5:30 p.m. ,Jan. 7 ,10 ,274554 ,$76
Dance Pl3y-Children ,6 - 10 yrs ,Thornhill C.C. ,Sun. ,2:45 p.m. - 3:45 p.m. ,Jan. 10 ,10 ,274558 ,$76
"Dodge, Flip & Eat ",6 - 12 yrs ,Cornell C.C. ,Sun. ,12:30 p.m. - 2:00 p.m. ,Jan. 10 ,10 ,273506 ,$132
"",11 - 14 yrs ,Cornell C.C. ,Wed. ,4:30 p.m. - 6:00 p.m. ,Jan. 6 ,10 ,273505 ,$132
Dodgeball ,6 - 10 yrs ,Cornell C.C. ,Mon. ,6:00 p.m. - 7:00 p.m. ,Jan. 4 ,9 ,273634 ,$47.50
"","",Thornhill C.C. ,Wed. ,6:30 p.m. - 7:30 p.m. ,Jan. 6 ,10 ,274559 ,$53
"",7 - 10 yrs ,Cornell C.C. ,Fri. ,6:30 p.m. - 7:30 p.m. ,Jan. 8 ,10 ,273507 ,$53
Drawing and Painting - Beginner ,6 - 10 yrs ,Angus Glen C.C. ,Tue. ,5:00 p.m. - 6:30 p.m. ,Jan. 5 ,10 ,273991 ,$97
"","",Armadale C.C. ,Sun. ,1:15 p.m. - 2:45 p.m. ,Jan. 17 ,8 ,275188 ,$78
"","",Centennial C.C. ,Wed. ,5:00 p.m. - 6:30 p.m. ,Jan. 6 ,10 ,273575 ,$97
"","",Centennial C.C. ,Sat. ,1:00 p.m. - 2:30 p.m. ,Jan. 9 ,10 ,273576 ,$97
"","",Cornell C.C. ,Mon. ,5:00 p.m. - 6:30 p.m. ,Jan. 4 ,9 ,273653 ,$87.50
"","",Cornell C.C. ,Sat. ,9:30 a.m. - 11:00 a.m. ,Jan. 9 ,10 ,273655 ,$97
"","",Milliken Mills C.C. ,Tue. ,5:00 p.m. - 6:30 p.m. ,Jan. 12 ,9 ,272240 ,$87.50
"","",Rouge River C.C. ,Thu. ,6:30 p.m. - 8:00 p.m. ,Jan. 14 ,8 ,275190 ,$78
"","",Thornhill C.C. ,Wed. ,6:30 p.m. - 7:30 p.m. ,Jan. 6 ,10 ,274560 ,$65
Drawing and Painting - Intermediate ,6 - 10 yrs ,Thornhill C.C. ,Wed. ,7:30 p.m. - 8:30 p.m. ,Jan. 6 ,10 ,274561 ,$65
Drumming,6 - 10 yrs,Milliken Mills C.C.,Mon.,5:00 p.m. - 5:45 p.m.,Jan. 11,8,272246,$111
"","",Milliken Mills C.C.,Mon.,5:45 p.m. - 6:30 p.m.,Jan. 11,8,272243,$111
"","",Milliken Mills C.C.,Mon.,6:30 p.m. - 7:15 p.m.,Jan. 11,8,272245,$111
"","",Milliken Mills C.C.,Sun.,2:30 p.m. - 3:15 p.m.,Jan. 17,8,272244,$111
"","",Milliken Mills C.C.,Sun.,3:15 p.m. - 4:00 p.m.,Jan. 17,8,272247,$111
"",8 - 10 yrs,Angus Glen C.C.,Thu.,5:30 p.m. - 6:30 p.m.,Jan. 7,10,274041,$139
Essay Writing for Children,9 - 12 yrs,Angus Glen Library,Wed.,7:00 p.m. - 8:00 p.m.,Jan. 13,8,273145,$52
"","",Markham Village Library,Thu.,7:00 p.m. - 8:00 p.m.,Jan. 14,8,273146,$52
Floor Hockey,6 - 10 yrs,Thornhill C.C.,Wed.,5:30 p.m. - 6:30 p.m.,Jan. 13,10,274567,$53
French Skills,6 - 8 yrs,Angus Glen Library,Tue.,7:00 p.m. - 8:00 p.m.,Jan. 12,8,273073,$52
Girls on the Go,6 - 10 yrs,Centennial C.C.,Mon.,5:00 p.m. - 6:30 p.m.,Jan. 4,9,273580,$71
"","",Cornell C.C.,Wed.,6:30 p.m. - 8:00 p.m.,Jan. 6,10,273666,$78.50
"","",Cornell C.C.,Sat.,3:00 p.m. - 4:30 p.m.,Jan. 9,10,273667,$78.50
Gladiator Challenge,6 - 10 yrs,Cornell C.C.,Thu.,6:00 p.m. - 7:30 p.m.,Jan. 7,10,273669,$78.50
Glee - Musical Theatre,6 - 10 yrs,Rouge River C.C.,Thu.,6:00 p.m. - 7:30 p.m.,Jan. 14,8,275199,$91
Grammar,9 - 12 yrs,Angus Glen Library,Thu.,7:00 p.m. - 8:00 p.m.,Jan. 14,8,273115,$52
Guitar Lessons - Beginner,6 - 10 yrs,Centennial C.C.,Sun.,1:30 p.m. - 2:30 p.m.,Jan. 10,10,273583,$76
"","",Centennial C.C.,Sun.,3:30 p.m. - 4:30 p.m.,Jan. 10,10,273582,$76
"","",Cornell C.C.,Wed.,5:30 p.m. - 6:30 p.m.,Jan. 6,10,273670,$76
"","",Cornell C.C.,Wed.,6:30 p.m. - 7:30 p.m.,Jan. 6,10,273671,$76
"","",Thornhill C.C.,Tue.,5:30 p.m. - 6:30 p.m.,Jan. 5,10,274574,$76
"",7 - 10 yrs,Armadale C.C.,Thu.,6:00 p.m. - 7:00 p.m.,Jan. 14,8,275203,$61
"",8 - 10 yrs,Angus Glen C.C.,Wed.,5:00 p.m. - 6:00 p.m.,Jan. 6,10,274030,$76
Guitar Lessons - Intermediate,8 - 10 yrs,Angus Glen C.C.,Wed.,6:00 p.m. - 7:00 p.m.,Jan. 6,10,274031,$76
"","",Centennial C.C.,Sun.,2:30 p.m. - 3:30 p.m.,Jan. 10,10,273584,$76
Hands on Robotics Jr.,6 - 9 yrs,Thornhill C.C.,Sat.,1:00 p.m. - 2:00 p.m.,Jan. 9,8,274579,$138
Hip Hop - Level 1,6 - 10 yrs,Cornell C.C.,Sat.,12:30 p.m. - 1:30 p.m.,Jan. 9,10,273674,$76
"","",Cornell C.C.,Sun.,12:45 p.m. - 1:45 p.m.,Jan. 10,10,273673,$76
"","",Milliken Mills C.C.,Wed.,6:30 p.m. - 7:30 p.m.,Jan. 13,9,272255,$69
"","",Rouge River C.C.,Mon.,7:30 p.m. - 8:30 p.m.,Jan. 11,8,275207,$61
"","",Thornhill C.C.,Fri.,4:30 p.m. - 5:30 p.m.,Jan. 8,10,274582,$76
Home Alone ,9 - 14 yrs ,Armadale C.C. ,Mon. ,9:00 a.m. - 5:00 p.m. ,Feb. 1 ,1 ,271364 ,$69
"","",Cornell C.C. ,Thu. ,5:30 p.m. - 7:30 p.m. ,Jan. 7 ,4 ,273675 ,$69
"","",Rouge River C.C. ,Fri. ,9:00 a.m. - 5:00 p.m. ,Jan. 15 ,1 ,271363 ,$69
Indoor Hockey ,6 - 10 yrs ,Angus Glen C.C. ,Sat. ,10:00 a.m. - 11:00 a.m. ,Jan. 9 ,8 ,274058 ,$42.50
"","",Cornell C.C. ,Fri. ,7:30 p.m. - 8:30 p.m. ,Jan. 8 ,10 ,273514 ,$53
Indoor Soccer ,6 - 10 yrs ,Angus Glen C.C. ,Fri. ,6:00 p.m. - 7:00 p.m. ,Jan. 8 ,10 ,274049 ,$53
"","",Armadale C.C. ,Thu. ,6:30 p.m. - 8:00 p.m. ,Jan. 14 ,8 ,275209 ,$63
"","",Armadale C.C. ,Sat. ,9:30 a.m. - 10:30 a.m. ,Jan. 16 ,8 ,275211 ,$63
"","",Centennial C.C. ,Sun. ,2:30 p.m. - 4:00 p.m. ,Jan. 10 ,10 ,273515 ,$78.50
"","",Centennial C.C. ,Sun. ,2:30 p.m. - 4:00 p.m. ,Jan. 10 ,10 ,273599 ,$78.50
"","",M.M. Soccer Dome ,Mon. ,6:00 p.m. - 7:00 p.m. ,Jan. 11 ,8 ,272008 ,$42.50
"","",Middlefield C.I. ,Mon. ,7:00 p.m. - 8:00 p.m. ,Jan. 11 ,8 ,275210 ,$42.50
"","",Mount Joy C.C. ,Mon. ,4:30 p.m. - 6:00 p.m. ,Jan. 4 ,9 ,273516 ,$71
"","",Mount Joy C.C. ,Thu. ,4:30 p.m. - 6:00 p.m. ,Jan. 7 ,10 ,273517 ,$78.50
"","",Thornhill C.C. ,Mon. ,6:00 p.m. - 7:00 p.m. ,Jan. 4 ,9 ,274590 ,$47.50
Jazz Dance - Beginner ,6 - 10 yrs ,Angus Glen C.C. ,Mon. ,6:30 p.m. - 7:30 p.m. ,Jan. 4 ,9 ,274266 ,$69
"","",Milliken Mills C.C. ,Thu. ,6:00 p.m. - 6:45 p.m. ,Jan. 14 ,9 ,272261 ,$69
Kaleidoscope Kids- Discovering YOUR Strengths ,8 - 12 yrs ,Cornell C.C. ,Tue. ,6:30 p.m. - 7:30 p.m. ,Jan. 5 ,8 ,273524 ,$89.50
Karate ,5 - 6 yrs ,Old Unionville Lib. C.C. ,Sat. ,10:30 a.m. - 11:30 a.m. ,Jan. 9 ,10 ,274269 ,$76
"",6 - 10 yrs ,Thornhill C.C. ,Sun. ,1:30 p.m. - 2:30 p.m. ,Jan. 10 ,14 ,274600 ,$106
"",7 - 10 yrs ,Old Unionville Lib. C.C. ,Sat. ,11:30 a.m. - 12:30 p.m. ,Jan. 9 ,10 ,274270 ,$76
Karate - Children/Pre Teen ,8 - 16 yrs ,Cornell C.C. ,Mon. ,7:00 p.m. - 8:00 p.m. ,Jan. 4 ,9 ,273754 ,$69
Kids in the Kitchen ,6 - 10 yrs ,Armadale C.C. ,Sat. ,11:45 a.m. - 1:15 p.m. ,Jan. 16 ,8 ,275224 ,$89.50
"","",Armadale C.C. ,Sun. ,11:30 a.m. - 1:00 p.m. ,Jan. 17 ,8 ,275226 ,$89.50
"","",Centennial C.C. ,Thu. ,5:00 p.m. - 6:30 p.m. ,Jan. 7 ,10 ,273617 ,$114
"","",Centennial C.C. ,Sat. ,11:30 a.m. - 1:00 p.m. ,Jan. 9 ,10 ,273616 ,$114
"","",Centennial C.C. ,Mon.-Fri. ,9:30 a.m. - 11:30 a.m. ,Mar. 14 ,5 ,275365 ,$76
"","",Centennial C.C. ,Mon.-Fri. ,1:00 p.m. - 3:00 p.m. ,Mar. 14 ,5 ,275366 ,$76
"","",Cornell C.C. ,Tue. ,5:30 p.m. - 7:00 p.m. ,Jan. 5 ,10 ,273525 ,$114
"","",Armadale C.C. ,Mon. ,7:00 p.m. - 8:30 p.m. ,Jan. 11 ,8 ,275225 ,$89.50
Kids in the Kitchen- Cookie/Square lover ,6 - 12 yrs ,Centennial C.C. ,Sat. ,1:30 p.m. - 3:00 p.m. ,Jan. 9 ,10 ,273618 ,$114
Kids Just Wanna Have Fun ,6 - 8 yrs ,Cornell C.C. ,Wed. ,5:30 p.m. - 7:00 p.m. ,Aug. 10 ,10 ,273755 ,$78.50
Kids Love Lego,5 - 9 yrs,Milliken Mills C.C.,Thu.,6:00 p.m. - 7:30 p.m.,Jan. 14,9,272262,$87.50
"","",Milliken Mills C.C.,Sat.,1:00 p.m. - 2:30 p.m.,Jan. 16,8,273197,$78
"","",Milliken Mills C.C.,Sat.,2:30 p.m. - 4:00 p.m.,Jan. 16,8,273198,$78
"","",Milliken Mills C.C.,Sun.,4:30 p.m. - 6:00 p.m.,Jan. 17,9,272263,$87.50
"",6 - 12 yrs,Angus Glen C.C.,Tue.,5:00 p.m. - 6:30 p.m.,Jan. 5,10,273997,$97
"","",Angus Glen C.C.,Sun.,10:00 a.m. - 11:30 a.m.,Jan. 10,9,273998,$87.50
Kids Love Lego - Advanced,6 - 12 yrs,Angus Glen C.C.,Tue.,6:30 p.m. - 8:00 p.m.,Jan. 5,10,273999,$97
Knitting & Crochet,6 - 12 yrs,Armadale C.C.,Sat.,10:30 a.m. - 12:00 p.m.,Jan. 16,8,275233,$78
Leadership and Self Confidence Development,7 - 9 yrs,Angus Glen Library,Sun.,2:15 p.m. - 3:15 p.m.,Jan. 17,8,273090,$52
"","",Markham Village Library,Thu.,6:00 p.m. - 7:00 p.m.,Jan. 14,8,273091,$52
Learn to Play Pickleball,6 - 10 yrs,Cornell C.C.,Mon.,4:30 p.m. - 6:00 p.m.,Jan. 4,9,273535,$71
Lego Mindstorm NXT - Hands on Robotics,6 - 9 yrs,Milliken Mills C.C.,Fri.,6:30 p.m. - 7:30 p.m.,Jan. 15,8,273149,$138
"","",Milliken Mills C.C.,Sat.,10:00 a.m. - 11:00 a.m.,Jan. 16,8,273151,$138
"","",Milliken Mills C.C.,Sat.,2:00 p.m. - 3:00 p.m.,Jan. 16,8,273152,$138
"","",Milliken Mills C.C.,Sun.,11:30 a.m. - 12:30 p.m.,Jan. 17,8,273153,$138
Let’s Invent with Makey Makey,8 - 12 yrs,Angus Glen Library,Sat.,3:00 p.m. - 4:30 p.m.,Jan. 16,8,273268,$200
Little Gamers,8 - 12 yrs,Cornell C.C.,Wed.,6:00 p.m. - 7:30 p.m.,Jan. 6,10,273758,$97
Little Ninja’s,5 - 7 yrs,Cornell C.C.,Mon.,6:00 p.m. - 7:00 p.m.,Jan. 4,9,273759,$53
Little Picaso’s,7 - 10 yrs,Cornell C.C.,Tue.,9:30 a.m. - 11:00 a.m.,Jan. 5,10,273760,$97
Lyrical / Contemporary Dance,7 - 9 yrs,Milliken Mills C.C.,Fri.,6:30 p.m. - 7:30 p.m.,Jan. 15,9,272272,$59
Magic,6 - 10 yrs,Armadale C.C.,Fri.,6:00 p.m. - 7:00 p.m.,Jan. 15,8,275238,$52
Mobile App Programming,12 - 18 yrs,Milliken Mills Library,Wed.,7:00 p.m. - 8:30 p.m.,Jan. 13,8,273271,$200
