Program Name,Age,Location,Day,Time,Start Date,# of Classes,Course Code,Fee
JK/SK Enrichment Program ,3 - 5 yrs ,Rouge River C.C. ,Wed. ,10:00 a.m. - 12:00 p.m. ,Jan. 13 ,8 ,275214 ,$101.50
Jr Sports- Badminton ,3 - 5 yrs ,Centennial C.C. ,Thu. ,1:00 p.m. - 2:00 p.m. ,Jan. 7 ,10 ,273604 ,$53
"","",Cornell C.C. ,Fri. ,10:30 a.m. - 11:30 a.m. ,Jan. 8 ,10 ,273523 ,$53
Junior Sports - Basketball ,2 - 5 yrs ,Cornell C.C. ,Fri. ,10:00 a.m. - 11:00 a.m. ,Jan. 8 ,10 ,273748 ,$53
"","",Angus Glen C.C. ,Wed. ,6:00 p.m. - 7:00 p.m. ,Jan. 6 ,10 ,274037 ,$53
"","",Armadale C.C. ,Sun. ,10:15 a.m. - 11:15 a.m. ,Jan. 17 ,8 ,275216 ,$42.50
"","",Centennial C.C. ,Thu. ,4:30 p.m. - 5:30 p.m. ,Jan. 7 ,10 ,273606 ,$53
"","",Centennial C.C. ,Sun. ,12:30 p.m. - 1:30 p.m. ,Jan. 10 ,10 ,273607 ,$53
"","",Cornell C.C. ,Tue. ,4:30 p.m. - 5:30 p.m. ,Jan. 5 ,10 ,273749 ,$53
"","",Thornhill C.C. ,Sat. ,9:00 a.m. - 10:00 a.m. ,Jan. 9 ,10 ,274598 ,$53
Junior Sports - Floor Hockey ,4 - 6 yrs ,Angus Glen C.C. ,Sat. ,9:00 a.m. - 10:00 a.m. ,Jan. 9 ,8 ,274059 ,$42.50
"","",Centennial C.C. ,Fri. ,5:00 p.m. - 6:00 p.m. ,Jan. 8 ,10 ,273608 ,$53
"","",Cornell C.C. ,Sat. ,11:00 a.m. - 12:00 p.m. ,Jan. 9 ,10 ,273750 ,$53
Junior Sports & Games Club ,3 - 5 yrs ,Cornell C.C. ,Thu. ,11:00 a.m. - 12:00 p.m. ,Jan. 7 ,10 ,273747 ,$53
Junior Sports Soccer ,4 - 6 yrs ,Angus Glen C.C. ,Tue. ,5:30 p.m. - 6:30 p.m. ,Jan. 5 ,10 ,273994 ,$53
"","",Angus Glen C.C. ,Fri. ,4:00 p.m. - 5:00 p.m. ,Jan. 8 ,10 ,273996 ,$53
"","",Angus Glen C.C. ,Fri. ,5:00 p.m. - 6:00 p.m. ,Jan. 8 ,10 ,273995 ,$53
"","",Armadale C.C. ,Thu. ,5:15 p.m. - 6:15 p.m. ,Jan. 14 ,8 ,275217 ,$42.50
"","",Armadale C.C. ,Sun. ,9:15 a.m. - 10:15 a.m. ,Jan. 17 ,8 ,275218 ,$42.50
"","",Centennial C.C. ,Mon. ,6:30 p.m. - 7:30 p.m. ,Jan. 4 ,9 ,273613 ,$47.50
"","",Centennial C.C. ,Sun. ,1:30 p.m. - 2:30 p.m. ,Jan. 10 ,10 ,273612 ,$53
"","",M.M. Soccer Dome ,Mon. ,5:00 p.m. - 6:00 p.m. ,Jan. 11 ,8 ,272014 ,$47.50
"","",Mount Joy C.C. ,Fri. ,5:00 p.m. - 6:00 p.m. ,Jan. 8 ,10 ,273611 ,$53
"","",Thornhill C.C. ,Mon. ,5:00 p.m. - 6:00 p.m. ,Jan. 4 ,10 ,274599 ,$53
Junior Sports with Mom ,2 - 4 yrs ,Angus Glen C.C. ,Mon. ,9:30 a.m. - 10:30 a.m. ,Jan. 4 ,9 ,273982 ,$47.50
"",3 - 5 yrs ,Cornell C.C. ,Sun. ,10:00 a.m. - 11:00 a.m. ,Jan. 10 ,10 ,273751 ,$53
Junior Sports with Mom / Dad ,3 - 5 yrs ,Armadale C.C. ,Sat. ,10:30 a.m. - 11:30 a.m. ,Jan. 2 ,8 ,275220 ,$42.50
"","",Armadale C.C. ,Sun. ,10:15 a.m. - 11:15 a.m. ,Jan. 17 ,8 ,275219 ,$42.50
"","",Centennial C.C. ,Sat. ,9:00 a.m. - 10:00 a.m. ,Jan. 9 ,10 ,273614 ,$53
"","",Cornell C.C. ,Thu. ,5:00 p.m. - 6:00 p.m. ,Jan. 7 ,10 ,273753 ,$53
"","",Cornell C.C. ,Sun. ,9:00 a.m. - 10:00 a.m. ,Jan. 10 ,10 ,273752 ,$53
Just For Threes ,3 - 4 yrs ,Centennial C.C. ,Tue. ,9:30 a.m. - 11:00 a.m. ,Jan. 5 ,10 ,273615 ,$97
Kiddies Korner ,3 - 5 yrs ,Markham Village C.C. ,Mon. - Fri. ,9:00 a.m. - 12:00 p.m. ,Mar. 14 ,5 ,275362 ,$81
Kindercrafts ,2 - 4 yrs ,Thornhill C.C. ,Tue. ,1:30 p.m. - 3:00 p.m. ,Jan. 5 ,10 ,274602 ,$65
Kindercreations ,1.5 - 3 yrs ,Angus Glen C.C. ,Mon. ,11:00 a.m. - 12:00 p.m. ,Jan. 4 ,9 ,273983 ,$65
"","",Armadale C.C. ,Thu. ,10:00 a.m. - 11:30 a.m. ,Jan. 14 ,8 ,275229 ,$78
Kindergym - Level 1 ,1 - 2 yrs ,Angus Glen C.C. ,Tue. ,9:15 a.m. - 10:00 a.m. ,Jan. 5 ,10 ,274000 ,$66
"","",Centennial C.C. ,Wed. ,9:30 a.m. - 10:15 a.m. ,Jan. 6 ,10 ,273526 ,$66
"","",Centennial C.C. ,Thu. ,9:30 a.m. - 10:15 a.m. ,Jan. 7 ,10 ,273528 ,$66
"","",Centennial C.C. ,Sat. ,9:30 a.m. - 10:15 a.m. ,Jan. 9 ,10 ,273527 ,$66
"","",Centennial C.C. ,Sat. ,12:30 p.m. - 1:15 p.m. ,Jan. 9 ,10 ,273529 ,$66
"","",Milliken Mills C.C. ,Sat. ,9:30 a.m. - 10:15 a.m. ,Jan. 16 ,9 ,272264 ,$60
Kindergym - Level 2 ,2 - 3 yrs ,Angus Glen C.C. ,Tue. ,10:15 a.m. - 11:00 a.m. ,Jan. 5 ,10 ,274001 ,$66
"","",Centennial C.C. ,Wed. ,10:30 a.m. - 11:15 a.m. ,Jan. 6 ,10 ,273531 ,$66
"","",Centennial C.C. ,Thu. ,10:30 a.m. - 11:15 a.m. ,Jan. 7 ,10 ,273532 ,$66
"","",Centennial C.C. ,Sat. ,10:30 a.m. - 11:15 a.m. ,Jan. 9 ,10 ,273533 ,$66
"","",Centennial C.C. ,Sat. ,11:30 a.m. - 12:15 p.m. ,Jan. 9 ,10 ,273534 ,$66
"","",Milliken Mills C.C. ,Sat. ,10:15 a.m. - 11:00 a.m. ,Jan. 16 ,9 ,272266 ,$60
Kindergym and Swim - Level 2 ,2 - 4 yrs ,Angus Glen C.C. ,Fri. ,11:00 a.m. - 12:30 p.m. ,Jan. 8 ,10 ,274050 ,$97
"","",Milliken Mills C.C. ,Sat. ,11:15 a.m. - 12:45 p.m. ,Jan. 23 ,9 ,272267 ,$87.50
Le Petit Tennis ,3 - 5 yrs ,Cornell C.C. ,Sat. ,10:00 a.m. - 11:00 a.m. ,Jan. 9 ,10 ,273756 ,$53
"","",Cornell C.C. ,Sun. ,9:00 a.m. - 10:00 a.m. ,Jan. 10 ,10 ,273757 ,$53
LEGO Adventures ,4 - 6 yrs ,Centennial C.C. ,Tue. ,4:30 p.m. - 5:30 p.m. ,Jan. 5 ,10 ,273627 ,$89.50
"",6 - 10 yrs ,Centennial C.C. ,Tue. ,6:00 p.m. - 7:30 p.m. ,Jan. 5 ,10 ,273628 ,$134
Little Learners ,2 - 5 yrs ,Thornhill C.C. ,Tue. ,9:30 a.m. - 11:30 a.m. ,Jan. 5 ,10 ,274621 ,$129
"","",Thornhill C.C. ,Thu. ,9:30 a.m. - 11:30 a.m. ,Jan. 7 ,10 ,274620 ,$129
"","",Thornhill C.C. ,Sat. ,9:30 a.m. - 11:30 a.m. ,Jan. 9 ,10 ,274622 ,$129
"","",Cornell C.C. ,Sat. ,9:30 a.m. - 11:30 a.m. ,Jan. 9 ,10 ,273774 ,$129
Little Movers ,6 mths - 1 yr ,Thornhill C.C. ,Mon. ,9:30 a.m. - 10:15 a.m. ,Jan. 4 ,10 ,274623 ,$88.50
