Program Name,Age,Location,Day,Time,Start Date,# of Classes,Course Code,Fee
Guys Night Out,11 - 14 yrs,Cornell C.C.,Thu.,6:30 p.m. - 8:30 p.m.,Jan. 7,8,273672,$136
Hip Hop Dance - Level 1,11 - 14 yrs,Milliken Mills C.C.,Wed.,7:30 p.m. - 8:30 p.m.,Jan. 13,9,272257,$69
"","",Rouge River C.C.,Mon.,8:30 p.m. - 9:30 p.m.,Jan. 11,8,275208,$69
"","",Thornhill C.C.,Fri.,5:30 p.m. - 6:30 p.m.,Jan. 15,12,274583,$91
Indoor Soccer,11 - 15 yrs,Milliken Mills H.S. - (A2),Tue.,7:00 p.m. - 8:00 p.m.,Jan. 12,9,272327,$47.50
Introduction to Robots and Programming,8 - 12 yrs,Thornhill C.C. Library,Tue.,6:30 p.m. - 8:30 p.m.,Jan. 12,8,274159,$210
Lego Mindstorm EV3 - Hands on Robotics,10 - 16 yrs,Milliken Mills C.C.,Tue.,5:00 p.m. - 6:00 p.m.,Jan. 12,8,273125,$138
"","",Milliken Mills C.C.,Wed.,8:00 p.m. - 9:00 p.m.,Jan. 13,8,273128,$138
"","",Milliken Mills C.C.,Sat.,11:00 a.m. - 12:00 p.m.,Jan. 16,8,273126,$138
"","",Milliken Mills C.C.,Sat.,3:00 p.m. - 4:00 p.m.,Jan. 16,8,273127,$138
"","",Milliken Mills C.C.,Sun.,9:30 a.m. - 10:30 a.m.,Jan. 17,8,273129,$138
Lego Mindstorm EV3 - Hands on Robotics level 2,10 - 16 yrs,Milliken Mills C.C.,Sun.,10:30 a.m. - 11:30 a.m.,Jan. 17,8,273132,$138
Lyrical / Contemporary Dance,10 - 14 yrs,Milliken Mills C.C.,Fri.,7:30 p.m. - 8:30 p.m.,Jan. 15,9,272273,$59
Magic,11 - 14 yrs,Armadale C.C.,Fri.,7:00 p.m. - 8:00 p.m.,Jan. 15,8,275240,$52
PA DAY - Babysitting Course,11 - 14 yrs,Cornell C.C.,Fri.,9:00 a.m. - 4:00 p.m.,Jan. 15,1,271262,$46
"","",Cornell C.C.,Mon.,9:00 a.m. - 4:00 p.m.,Feb. 1,1,271263,$46
"","",Thornhill C.C.,Fri.,9:00 a.m. - 4:00 p.m.,Jan. 15,1,271509,$46
"","",Thornhill C.C.,Mon.,9:00 a.m. - 4:00 p.m.,Feb. 1,1,271510,$46
Redstone Circuitry in Minecraft,8 - 16 yrs,Thornhill C.C.,Sat.,11:00 a.m. - 12:00 p.m.,Jan. 9,8,274638,$138
Robo-gals,8 - 14 yrs,Milliken Mills C.C.,Wed.,7:00 p.m. - 8:00 p.m.,Jan. 13,8,272289,$138
"","",Milliken Mills C.C.,Fri.,5:30 p.m. - 6:30 p.m.,Jan. 15,8,272288,$138
Robotics 1 (Starter),11 - 16 yrs,Milliken Mills C.C.,Sat.,12:00 p.m. - 1:00 p.m.,Jan. 16,8,273160,$138
"","",Milliken Mills C.C.,Sat.,4:00 p.m. - 5:00 p.m.,Jan. 16,8,273161,$138
Robotics 2 (Developer),11 - 16 yrs,Milliken Mills C.C.,Sat.,5:00 p.m. - 6:00 p.m.,Jan. 16,8,273162,$138
Robots & Remote Controls,10 - 14 yrs,Milliken Mills C.C.,Tue.,5:00 p.m. - 6:00 p.m.,Jan. 26,7,272296,$54
"","",Milliken Mills C.C.,Wed.,5:30 p.m. - 6:30 p.m.,Jan. 27,7,272294,$54
"","",Milliken Mills C.C.,Sun.,2:00 p.m. - 3:00 p.m.,Jan. 31,7,272298,$54
Rock Climbing,11 - 14 yrs,Armadale C.C.,Tue.,7:05 p.m. - 8:25 p.m.,Jan. 12,5,275256,$104
"",11 - 15 yrs,Armadale C.C.,Sat.,1:30 p.m. - 3:00 p.m.,Jan. 9,5,275257,$104
"","",Armadale C.C.,Sat.,12:00 p.m. - 1:30 p.m.,Feb. 13,5,275258,$104
"","",Armadale C.C.,Tue.,5:45 p.m. - 7:05 p.m.,Feb. 16,5,275259,$104
Table Tennis,10 - 14 yrs,Milliken Mills C.C.,Mon.,7:00 p.m. - 8:00 p.m.,Jan. 11,8,272311,$42.50
"","",Milliken Mills C.C.,Sun.,10:00 a.m. - 11:00 a.m.,Jan. 17,9,272312,$47.50
Tae Kwon-Do,11 - 14 yrs,Milliken Mills C.C.,Tue.,7:00 p.m. - 8:00 p.m.,Jan. 12,9,272316,$69
"","",Rouge River C.C.,Fri.,8:15 p.m. - 9:15 p.m.,Jan. 15,8,275276,$61
"","",Thornhill C.C.,Wed.,7:15 p.m. - 8:15 p.m.,Jan. 6,10,274657,$76
Tennis,11 - 15 yrs,Angus Glen Tennis Centre,Sat.,12:30 p.m. - 1:30 p.m.,Jan. 9,10,273467,$112
"","",Angus Glen Tennis Centre,Sat.,5:30 p.m. - 6:30 p.m.,Jan. 9,10,273468,$112
"","",Angus Glen Tennis Centre,Sun.,11:30 a.m. - 12:30 p.m.,Jan. 10,10,273465,$112
Violin Lessons - Beginner,10 - 14 yrs,Milliken Mills C.C.,Fri.,6:30 p.m. - 7:30 p.m.,Jan. 15,8,272321,$111
Volleyball,11 - 14 yrs,Centennial C.C.,Tue.,6:30 p.m. - 8:00 p.m.,Jan. 5,10,273656,$78.50
"",11 - 15 yrs,Armadale C.C.,Sun.,2:30 p.m. - 4:00 p.m.,Jan. 17,8,275282,$42.50
"","",Thornlea Pool/Gym,Fri.,4:30 p.m. - 6:00 p.m.,Jan. 8,10,274666,$53
"","",William Berczy P.S.,Wed.,7:30 p.m. - 9:00 p.m.,Jan. 6,8,274276,$63
